uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF
"6bdfa9c5-27e0-4d5a-9bd3-2a3d8b68fc03","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","B10","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"9c50dd7f-503e-424b-857d-f0b653b9d3cd","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","E10","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"f17d0a9f-3ccf-4d53-b136-c23f90eec03a","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","B5","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"d892666a-59a8-4109-9aa9-301d9a75232d","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","B4","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"f89e009c-3ee7-412d-9102-5533c99f1f53","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","C6","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"ae21f632-4dba-4f82-8f5d-474c700fdeef","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","C10","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"84d6e31d-f5a0-4e11-b3d0-cd4b1c07cc10","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","E1","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"b8682db9-fddf-48f8-85e8-1de3cd04e4ee","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","D3","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"8a2d8dbc-cf78-4f3f-b1b0-ec1e3c0bf8c1","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","A4","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"3070e3c8-fa15-473b-af92-b85dcf601f3d","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","A8","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"69ffc343-9839-4b83-8343-a368880ac87c","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","E7","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
"838fc196-a1c8-4da0-84de-be1bba1e9930","a9ccba1d-e34f-4233-804b-27bd8038fc16","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","A3","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"6 - trap set and empty","ShermanXLF","2017-02-17","2017-02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"auccello@field-ops.org","Frosenbower@field-ops.org",,
